rope,seq_len,method,sample,region,tail_band,tokens,dense_nll,nll,delta_nll,delta_p50,delta_p95,delta_p99,delta_max,fraction_delta_gt_1,mean_kl,same_top1
native,32768,flashprefill_tail1,2,tail,penultimate_block,128,1.5909469083888412,1.6368092916227504,0.045862383233926884,-1.1920838005607949e-07,0.6810476660728438,1.0401698923110965,1.139362335205078,0.0234375,0.03517990034049055,0.90625
native,32768,flashprefill_tail1,3,early,earlier,128,2.555777681675167,2.563131274231491,0.007353592556324176,-5.1849965529982e-06,0.25469378232955897,0.6792445087432867,0.7514011859893799,0.0,0.011134390150279349,0.9609375
native,32768,flashprefill_tail1,3,late,earlier,128,1.6429820966512168,1.6432428738019507,0.0002607770177203054,0.000298744183965,0.30221300125122036,0.46204709410667455,0.8627743721008301,0.0,0.017954728206694484,0.921875
native,32768,flashprefill_tail1,3,middle,earlier,128,2.078716602602043,2.078804485553178,8.788295113504214e-05,-1.0063069566967897e-05,0.35430159568786596,0.5642421674728397,0.6608686447143555,0.0,0.017807753505731896,0.9453125
native,32768,flashprefill_tail1,3,tail,earlier,269,1.6388262087289767,1.6829838722339097,0.04415766356032606,3.155448939651251e-05,0.37003879547119134,0.7356216812133787,5.0524420738220215,0.007434944237918215,0.02720238203188139,0.9256505576208178
native,32768,flashprefill_tail1,3,tail,last_block,115,1.78681281326207,1.8085466926664169,0.021733879404347022,-3.576276412786683e-07,0.28129202127456626,0.4624000525474548,1.4499075412750244,0.008695652173913044,0.015500183356630714,0.9391304347826087
native,32768,flashprefill_tail1,3,tail,penultimate_block,128,1.4050507673929609,1.3947102420739625,-0.010340525464464175,-1.5078210708452389e-05,0.33672188520431495,0.869135334491731,1.1687259674072266,0.0078125,0.04349190150085587,0.8828125
native,32768,flashprefill_tail2,0,early,earlier,128,1.5479470318761166,1.5114845466523494,-0.036462485456597804,-1.1625352271948943e-05,0.17457466125488252,0.37787595510482797,0.8409844636917114,0.0,0.02104261535080606,0.9375
native,32768,flashprefill_tail2,0,late,earlier,128,2.1808484872297527,2.1442917602262384,-0.036556727003514304,-0.0008597443811595,0.2691597491502761,0.38048382282257087,0.4895617961883545,0.0,0.015091774456802608,0.953125
native,32768,flashprefill_tail2,0,middle,earlier,128,1.8419945590163325,1.840034221850761,-0.001960337165741951,-7.30413812561892e-05,0.18158314228057842,0.44543432235717795,0.8877711296081543,0.0,0.008883614957885573,0.9453125
native,32768,flashprefill_tail2,0,tail,earlier,269,1.8478070520471017,1.8565706825996546,0.008763630531781717,2.2291742425295524e-05,0.32488209009170527,0.8823754882812495,0.9974370002746582,0.0,0.02301822444888057,0.9256505576208178
native,32768,flashprefill_tail2,0,tail,last_block,115,0.9853623232093123,0.9846123400200055,-0.0007499831893077759,-3.419257700443268e-05,0.13926663398742659,0.44035743236541736,0.7931618690490723,0.0,0.0066005292141378975,0.9739130434782609
native,32768,flashprefill_tail2,0,tail,penultimate_block,128,1.0484381541883678,1.0560023973945363,0.007564243200654622,6.528903031721711e-05,0.18621789515018441,0.5275760138034826,0.9186849594116212,0.0,0.00782451814324499,0.9375
native,32768,flashprefill_tail2,1,early,earlier,128,2.016133059271283,2.0138545343980923,-0.002278524873190687,-2.4852277419995517e-05,0.18612405657768247,0.33431959033012393,0.5457911491394043,0.0,0.007582358220964159,0.9375
native,32768,flashprefill_tail2,1,late,earlier,128,1.735901002346992,1.7535072591287673,0.01760625678177519,1.5555619029328227e-05,0.3766655087471005,0.6582645070552837,0.8511195182800293,0.0,0.015157582156136003,0.96875
native,32768,flashprefill_tail2,1,middle,earlier,128,1.8070393533935771,1.8383524521560446,0.03131309864616582,0.0001317922142334,0.5281813144683835,1.1599751472473148,1.6632966995239258,0.03125,0.026798304195263037,0.953125
native,32768,flashprefill_tail2,1,tail,earlier,269,1.658558690303285,1.673859739472754,0.015301049169468159,0.0001244134036824,0.29533910751342773,0.7918015670776348,1.1221427917480469,0.007434944237918215,0.015003136382676797,0.9591078066914498
native,32768,flashprefill_tail2,1,tail,last_block,115,1.5640830972628463,1.5527003699062176,-0.011382727356628852,2.801221489789896e-05,0.22175334692001328,0.35593214511871335,0.595989465713501,0.0,0.010395252937697119,0.9652173913043478
native,32768,flashprefill_tail2,1,tail,penultimate_block,128,2.057113568581755,2.088784358311088,0.031670789729332675,0.001966749317944,0.3544638037681577,0.747640588283539,0.9856152534484864,0.0,0.011304705489074205,0.9296875
native,32768,flashprefill_tail2,2,early,earlier,128,1.8165967173268367,1.822910416909096,0.00631369958225925,-1.2218132269481432e-05,0.19919958710670466,0.3113737511634828,0.6389260292053223,0.0,0.006481156513080744,0.9453125
native,32768,flashprefill_tail2,2,late,earlier,128,2.418011358228455,2.451049573954265,0.033038215725810005,0.00048330979188894994,0.34589583873748736,0.7234657573699954,0.7425131797790527,0.0,0.014862411144221663,0.8828125
native,32768,flashprefill_tail2,2,middle,earlier,128,1.7347502827095127,1.7364026370024988,0.0016523543375512953,-0.0028082504868507,0.280760383605957,0.9579464197158827,1.6197142601013184,0.015625,0.026705424970426564,0.9609375
native,32768,flashprefill_tail2,2,tail,earlier,269,1.7707061268471682,1.7816710273773924,0.010964900529575652,7.510032446589321e-06,0.31666265726089476,0.5018006324768065,1.2442893981933594,0.0037174721189591076,0.03595005924775573,0.9070631970260223
native,32768,flashprefill_tail2,2,tail,last_block,115,2.0101443875842366,2.036679292197155,0.026534904612918055,0.0025745630264282,0.23429293632507314,0.41282197475433347,0.7599005699157715,0.0,0.008234273427130887,0.9391304347826087
native,32768,flashprefill_tail2,2,tail,penultimate_block,128,1.5909469083888412,1.6247935403699287,0.033846631979495896,1.8476666809874587e-06,0.33883197307586654,0.808310012817384,1.2734441757202148,0.0078125,0.023932144282332108,0.921875
native,32768,flashprefill_tail2,3,early,earlier,128,2.555777681675167,2.563131274231491,0.007353592556324176,-5.1849965529982e-06,0.25469378232955897,0.6792445087432867,0.7514011859893799,0.0,0.011134390150279349,0.9609375
native,32768,flashprefill_tail2,3,late,earlier,128,1.6429820966512168,1.6432428738019507,0.0002607770177203054,0.000298744183965,0.30221300125122036,0.46204709410667455,0.8627743721008301,0.0,0.017954728206694484,0.921875
native,32768,flashprefill_tail2,3,middle,earlier,128,2.078716602602043,2.078804485553178,8.788295113504214e-05,-1.0063069566967897e-05,0.35430159568786596,0.5642421674728397,0.6608686447143555,0.0,0.017807753505731896,0.9453125
native,32768,flashprefill_tail2,3,tail,earlier,269,1.6388262087289767,1.6829838722339097,0.04415766356032606,3.155448939651251e-05,0.37003879547119134,0.7356216812133787,5.0524420738220215,0.007434944237918215,0.02720238203188139,0.9256505576208178
native,32768,flashprefill_tail2,3,tail,last_block,115,1.78681281326207,1.8065984681780394,0.01978565491596941,-0.0002133353846147,0.2626609206199644,0.34204057216644285,1.4503252506256104,0.008695652173913044,0.011857056532435191,0.9565217391304348
native,32768,flashprefill_tail2,3,tail,penultimate_block,128,1.4050507673929609,1.3896306177918731,-0.015420149601087731,4.647683817893267e-05,0.13806853145360928,0.2632028865814211,0.9427921772003174,0.0,0.01124271747762191,0.953125
yarn4,4096,flashprefill_tail0,0,early,earlier,128,1.5562845001529695,1.549780709007024,-0.006503791145945565,-5.865492857992649e-05,0.05895858407020562,0.11573375940322872,0.1234230995178222,0.0,0.0007551639972676483,0.984375
yarn4,4096,flashprefill_tail0,0,middle,earlier,128,1.748562675505437,1.7806134043579709,0.03205072885247695,2.7751379093388095e-05,0.2739336490631101,0.6507400894165041,0.842528223991394,0.0,0.014259848675782076,0.921875
yarn4,4096,flashprefill_tail0,0,tail,earlier,269,1.6333250357879894,1.6187508319975277,-0.014574203816211887,-3.3155083656311035e-06,0.32709051370620723,0.7668922042846669,2.1213743686676025,0.007434944237918215,0.03757564595028247,0.9033457249070632
yarn4,4096,flashprefill_tail0,0,tail,last_block,115,1.3941591033009662,1.4254194431618168,0.03126033986186287,5.529029294848442e-05,0.331470727920532,0.8793542480468748,1.16408109664917,0.008695652173913044,0.01406650846877981,0.9217391304347826
yarn4,4096,flashprefill_tail0,0,tail,penultimate_block,128,1.4414353033674558,1.4287162920499412,-0.012719011317500414,-0.00012930424418295002,0.30612044185400006,0.521577180027962,0.7689423561096191,0.0,0.01763038404815904,0.96875
yarn4,4096,flashprefill_tail0,1,early,earlier,128,1.9248991363438248,1.9262456920660893,0.0013465557222644919,1.786649227142334e-05,0.08762793540954578,0.2114444518089299,0.3358185291290283,0.0,0.0009894849507096047,0.984375
yarn4,4096,flashprefill_tail0,1,middle,earlier,128,2.047726987440824,2.054915449726302,0.007188462285477645,0.00036108435597264997,0.17148087024688705,0.2766355705261231,0.5361661911010742,0.0,0.008840420805348371,0.96875
yarn4,4096,flashprefill_tail0,1,tail,earlier,269,1.9100753984169532,1.9260946805199146,0.016019282102944402,-5.620741285383701e-05,0.3379628896713253,0.9861951208114613,1.7657794952392578,0.011152416356877323,0.025437063071693907,0.9368029739776952
yarn4,4096,flashprefill_tail0,1,tail,last_block,115,1.6821080615697888,1.7368089496998278,0.05470088861594653,0.0006204545497894,0.45204376578330974,1.7269507598876952,1.959341287612915,0.02608695652173913,0.060471051503890004,0.9304347826086956
yarn4,4096,flashprefill_tail0,1,tail,penultimate_block,128,1.125285929677844,1.1233564915157075,-0.0019294381620795697,-0.0003794648509938,0.10294774174690241,0.41488780021667593,0.7379941940307617,0.0,0.010199644140534713,0.9609375
yarn4,4096,flashprefill_tail0,2,early,earlier,128,2.0801263081015264,2.080006476701314,-0.00011983140021243387,0.0001504287938587,0.06420478224754327,0.08382409811019896,0.1184432506561279,0.0,0.0008209301219807594,0.9765625
yarn4,4096,flashprefill_tail0,2,middle,earlier,128,1.7894979060851597,1.7789863201262506,-0.010511585958909107,-9.712012251835773e-05,0.13328902125358566,0.3337909078598028,0.5663609504699707,0.0,0.005674195848335911,0.9296875
yarn4,4096,flashprefill_tail0,2,tail,earlier,269,1.9851880356337726,1.9901312291238196,0.004943193490000551,-3.1978823244571686e-05,0.3035184860229491,0.6657146549224853,0.8856654167175293,0.0,0.01516757768054873,0.9330855018587361
yarn4,4096,flashprefill_tail0,2,tail,last_block,115,1.5576324967976214,1.6204463291767752,0.06281383383485144,0.0062914118170738,0.472010314464569,2.0913680839538564,2.477876663208008,0.017391304347826087,0.046058377887525,0.9478260869565217
yarn4,4096,flashprefill_tail0,2,tail,penultimate_block,128,2.2687515032466337,2.2515579804070143,-0.01719352283961939,-0.00019316963152955,0.24433045387268032,0.7691580009460455,1.7883360385894775,0.0078125,0.020451292655567815,0.953125
yarn4,4096,flashprefill_tail0,3,early,earlier,128,1.7345035267536382,1.7369756033418575,0.0024720765882193544,-5.937181413173676e-08,0.0847939439117907,0.11732056617736816,0.1219744682312011,0.0,0.0007326448329797536,0.984375
yarn4,4096,flashprefill_tail0,3,middle,earlier,128,1.327677554058873,1.3145401525001006,-0.013137401558772407,-0.00059341965243215,0.13768321573734266,0.24751213073730466,0.627011775970459,0.0,0.0059219640499252445,0.9453125
yarn4,4096,flashprefill_tail0,3,tail,earlier,269,2.112821280923487,2.1351759512174997,0.022354670294073994,-1.4305076092568925e-06,0.37394037246704104,1.1781667137145995,1.9823737144470213,0.01486988847583643,0.025236733802293836,0.9107806691449815
yarn4,4096,flashprefill_tail0,3,tail,last_block,115,2.3091828653616098,2.314066250025648,0.004883384664034294,-0.0002559318672865,0.27697873115539545,0.38190381050109856,0.5840840339660645,0.0,0.01211485519711257,0.9565217391304348
yarn4,4096,flashprefill_tail0,3,tail,penultimate_block,128,2.1499736293815204,2.1721777761900967,0.02220414680846261,-1.8016668036580086e-05,0.31060196161270137,0.539746870994568,0.5967053174972534,0.0,0.013591499826405902,0.90625
yarn4,4096,flashprefill_tail1,0,early,earlier,128,1.5562845001529695,1.549780709007024,-0.006503791145945565,-5.865492857992649e-05,0.05895858407020562,0.11573375940322872,0.1234230995178222,0.0,0.0007551639972676483,0.984375
yarn4,4096,flashprefill_tail1,0,middle,earlier,128,1.748562675505437,1.7806134043579709,0.03205072885247695,2.7751379093388095e-05,0.2739336490631101,0.6507400894165041,0.842528223991394,0.0,0.014259848675782076,0.921875
yarn4,4096,flashprefill_tail1,0,tail,earlier,269,1.6333250357879894,1.6187508319975277,-0.014574203816211887,-3.3155083656311035e-06,0.32709051370620723,0.7668922042846669,2.1213743686676025,0.007434944237918215,0.03757564595028247,0.9033457249070632
yarn4,4096,flashprefill_tail1,0,tail,last_block,115,1.3941591033009662,1.4097191110037053,0.015560007702738991,6.326820584945381e-05,0.2408220887184142,0.46378040313720703,0.8502922058105469,0.0,0.0064378975658930205,0.9478260869565217
yarn4,4096,flashprefill_tail1,0,tail,penultimate_block,128,1.4414353033674558,1.4287162920499412,-0.012719011317500414,-0.00012930424418295002,0.30612044185400006,0.521577180027962,0.7689423561096191,0.0,0.01763038404815904,0.96875
yarn4,4096,flashprefill_tail1,1,early,earlier,128,1.9248991363438248,1.9262456920660893,0.0013465557222644919,1.786649227142334e-05,0.08762793540954578,0.2114444518089299,0.3358185291290283,0.0,0.0009894849507096047,0.984375
yarn4,4096,flashprefill_tail1,1,middle,earlier,128,2.047726987440824,2.054915449726302,0.007188462285477645,0.00036108435597264997,0.17148087024688705,0.2766355705261231,0.5361661911010742,0.0,0.008840420805348371,0.96875
yarn4,4096,flashprefill_tail1,1,tail,earlier,269,1.9100753984169532,1.9260946805199146,0.016019282102944402,-5.620741285383701e-05,0.3379628896713253,0.9861951208114613,1.7657794952392578,0.011152416356877323,0.025437063071693907,0.9368029739776952
yarn4,4096,flashprefill_tail1,1,tail,last_block,115,1.6821080615697888,1.7068860385020066,0.024777976932217935,0.0007369769737124,0.1505076885223388,0.5022899913787842,0.7739191651344299,0.0,0.006068377626813661,0.991304347826087
yarn4,4096,flashprefill_tail1,1,tail,penultimate_block,128,1.125285929677844,1.1233564915157075,-0.0019294381620795697,-0.0003794648509938,0.10294774174690241,0.41488780021667593,0.7379941940307617,0.0,0.010199644140534713,0.9609375
yarn4,4096,flashprefill_tail1,2,early,earlier,128,2.0801263081015264,2.080006476701314,-0.00011983140021243387,0.0001504287938587,0.06420478224754327,0.08382409811019896,0.1184432506561279,0.0,0.0008209301219807594,0.9765625
yarn4,4096,flashprefill_tail1,2,middle,earlier,128,1.7894979060851597,1.7789863201262506,-0.010511585958909107,-9.712012251835773e-05,0.13328902125358566,0.3337909078598028,0.5663609504699707,0.0,0.005674195848335911,0.9296875
yarn4,4096,flashprefill_tail1,2,tail,earlier,269,1.9851880356337726,1.9901312291238196,0.004943193490000551,-3.1978823244571686e-05,0.3035184860229491,0.6657146549224853,0.8856654167175293,0.0,0.01516757768054873,0.9330855018587361
yarn4,4096,flashprefill_tail1,2,tail,last_block,115,1.5576324967976214,1.5594511161167326,0.0018186193191112466,-0.0024482272565364,0.1470795631408689,0.40997802734375,0.5355768203735352,0.0,0.0054284082061139185,0.9565217391304348
yarn4,4096,flashprefill_tail1,2,tail,penultimate_block,128,2.2687515032466337,2.2515579804070143,-0.01719352283961939,-0.00019316963152955,0.24433045387268032,0.7691580009460455,1.7883360385894775,0.0078125,0.020451292655567815,0.953125
yarn4,4096,flashprefill_tail1,3,early,earlier,128,1.7345035267536382,1.7369756033418575,0.0024720765882193544,-5.937181413173676e-08,0.0847939439117907,0.11732056617736816,0.1219744682312011,0.0,0.0007326448329797536,0.984375
yarn4,4096,flashprefill_tail1,3,middle,earlier,128,1.327677554058873,1.3145401525001006,-0.013137401558772407,-0.00059341965243215,0.13768321573734266,0.24751213073730466,0.627011775970459,0.0,0.0059219640499252445,0.9453125
yarn4,4096,flashprefill_tail1,3,tail,earlier,269,2.112821280923487,2.1351759512174997,0.022354670294073994,-1.4305076092568925e-06,0.37394037246704104,1.1781667137145995,1.9823737144470213,0.01486988847583643,0.025236733802293836,0.9107806691449815
yarn4,4096,flashprefill_tail1,3,tail,last_block,115,2.3091828653616098,2.298392496110769,-0.010790369250840422,-0.0005157582927495,0.1617280006408691,0.19186630725860593,0.2883132696151733,0.0,0.003252482368238973,0.991304347826087
yarn4,4096,flashprefill_tail1,3,tail,penultimate_block,128,2.1499736293815204,2.1721777761900967,0.02220414680846261,-1.8016668036580086e-05,0.31060196161270137,0.539746870994568,0.5967053174972534,0.0,0.013591499826405902,0.90625
yarn4,4096,flashprefill_tail2,0,early,earlier,128,1.5562845001529695,1.549780709007024,-0.006503791145945565,-5.865492857992649e-05,0.05895858407020562,0.11573375940322872,0.1234230995178222,0.0,0.0007551639972676483,0.984375
yarn4,4096,flashprefill_tail2,0,middle,earlier,128,1.748562675505437,1.7806134043579709,0.03205072885247695,2.7751379093388095e-05,0.2739336490631101,0.6507400894165041,0.842528223991394,0.0,0.014259848675782076,0.921875
yarn4,4096,flashprefill_tail2,0,tail,earlier,269,1.6333250357879894,1.6187508319975277,-0.014574203816211887,-3.3155083656311035e-06,0.32709051370620723,0.7668922042846669,2.1213743686676025,0.007434944237918215,0.03757564595028247,0.9033457249070632
yarn4,4096,flashprefill_tail2,0,tail,last_block,115,1.3941591033009662,1.4027240259688034,0.0085649226678371,0.0,0.19557303190231318,0.48441232204437246,0.7828788757324219,0.0,0.004932405952436213,0.9652173913043478
yarn4,4096,flashprefill_tail2,0,tail,penultimate_block,128,1.4414353033674558,1.440056422947606,-0.0013788804198497917,-2.2708076357957907e-05,0.19766439199447583,0.4154289066791543,0.5270503163337708,0.0,0.009231727914136248,0.9765625
yarn4,4096,flashprefill_tail2,1,early,earlier,128,1.9248991363438248,1.9262456920660893,0.0013465557222644919,1.786649227142334e-05,0.08762793540954578,0.2114444518089299,0.3358185291290283,0.0,0.0009894849507096047,0.984375
yarn4,4096,flashprefill_tail2,1,middle,earlier,128,2.047726987440824,2.054915449726302,0.007188462285477645,0.00036108435597264997,0.17148087024688705,0.2766355705261231,0.5361661911010742,0.0,0.008840420805348371,0.96875
